Epic,Story ID,Story Title,Story Description,Acceptance Criteria,Priority,Story Points,Status,Sprint
Core Payment Flow,US-001,New card payment,"As a user, I want to enter my card details natively in the app so I can pay without being redirected to a browser","Given I am on the checkout screen / When I tap Pay / Then a native payment sheet appears within the app / And I can enter card number, expiry and CVV / And payment is confirmed within 2 seconds",Must Have,8,Done,Sprint 1
Core Payment Flow,US-002,Saved card payment,"As a returning user, I want to pay using a previously saved card so I can checkout faster","Given I have a saved card on my account / When I tap Pay / Then my saved card is shown as the default option / And I can confirm payment with one tap / And confirmation appears within 2 seconds",Must Have,5,Done,Sprint 1
Core Payment Flow,US-003,Payment confirmation screen,"As a user, I want to see a clear confirmation screen after payment so I know my order is confirmed","Given payment is successful / When Stripe returns a success response / Then I see a confirmation screen with order reference, amount paid and estimated delivery / And a confirmation email is sent within 60 seconds",Must Have,3,Done,Sprint 1
Core Payment Flow,US-004,Payment failure handling,"As a user, I want to see a clear message if my payment fails so I know what to do next","Given a card decline or payment error occurs / When Stripe returns a failure response / Then I see a user-friendly error message matching the decline reason / And I am given the option to try a different card or contact support",Must Have,5,Done,Sprint 1
Security & Compliance,US-005,Stripe Elements integration,"As a business, I need card data to never touch PayFlow servers so we remain outside PCI-DSS scope","Given a user enters card details / When the payment sheet is displayed / Then card entry is handled entirely by Stripe Elements hosted UI / And no card data is transmitted to or stored on PayFlow servers",Must Have,8,Done,Sprint 1
Security & Compliance,US-006,3DS authentication,"As a user, I want 3DS authentication to be handled within the app so I am not redirected to a browser","Given my card issuer requires 3DS verification / When payment is initiated / Then the 3DS prompt appears natively within the app / And on successful verification payment proceeds automatically",Must Have,8,Done,Sprint 1
Security & Compliance,US-007,No server-side card storage,"As a business, I need to ensure no card data is stored on PayFlow infrastructure to maintain compliance","Given a user completes payment / When the transaction is processed / Then only a Stripe payment token is stored in PayFlow database / And no raw card number, CVV or expiry is retained at any point",Must Have,3,Done,Sprint 1
Refunds & Edge Cases,US-008,Full refund,"As a user, I want to request a refund from within the app so I do not have to contact support","Given I navigate to order history and select a completed order / When I tap Request Refund and confirm / Then PayFlow calls the Stripe refund API / And I receive email confirmation within 5 minutes / And refund appears within 5-10 business days",Should Have,5,Done,Sprint 2
Refunds & Edge Cases,US-009,Partial refund,"As a user, I want to receive a partial refund for a returned item without the full order being cancelled","Given I return one item from a multi-item order / When the merchant processes the return / Then Stripe partial refund API is called for the item amount only / And I receive confirmation of the partial refund amount",Should Have,3,Done,Sprint 2
Refunds & Edge Cases,US-010,Payment timeout handling,"As a user, I want to see a clear message if my payment times out so I know whether to retry","Given a payment request has no response after 30 seconds / When the timeout threshold is reached / Then I see a timeout message explaining the payment did not complete / And I am offered the option to retry or check order history",Must Have,5,Done,Sprint 2
Refunds & Edge Cases,US-011,Network error mid-payment,"As a user, I want the app to handle network errors gracefully so I am not left uncertain about payment status","Given my network drops during a payment request / When connectivity is lost before Stripe responds / Then the payment is not processed / And I see a clear network error message / And no duplicate charge is made on retry",Must Have,5,Done,Sprint 2
Refunds & Edge Cases,US-012,Duplicate payment prevention,"As a business, I need duplicate payments to be prevented if a user taps Pay more than once","Given a payment request is in progress / When a user taps Pay again / Then the second tap is ignored / And idempotency key on the Stripe API call prevents any duplicate charge / And only one transaction appears in order history",Must Have,3,Done,Sprint 2
