Req ID,Category,Requirement,Rationale,MoSCoW Priority,Source,Notes
IR-001,Digital Intake,Claims must be submittable via a web-based digital form available 24/7,Current paper process limits submission to office hours; digital intake removes this constraint and reduces handling lag,Must Have,Workshop — Operations Director,Core of the transformation
IR-002,Digital Intake,The digital form must validate required fields before submission and prevent incomplete claims being entered into the system,18% rework rate is driven primarily by incomplete or inconsistent information at the point of entry,Must Have,Workshop — Claims Manager,Immediate ROI: reduces rework
IR-003,Digital Intake,Users must be able to upload supporting documents (photos, PDFs) directly from the digital form up to 20MB per file,Field visits and photos are required evidence for many claim types; current process requires email follow-up for each document,Must Have,Interviews — Claims Handlers,Replaces email chasing workflow
IR-004,Digital Intake,The system must generate a unique claim reference number immediately on submission and display it to the claimant,Claimants currently have no reference and must call to track status — generating 35% of inbound support calls,Must Have,Workshop — Operations Director,Will reduce support call volume
IR-005,Claim Tracking,Claimants must be able to check claim status online using their claim reference number without calling,35% of inbound calls are status enquiries; self-service tracking removes this burden from the team entirely,Must Have,Workshop — all stakeholders,
IR-006,Claim Tracking,The system must send automated status update notifications to claimants at each stage of the process,Lack of proactive communication is the top complaint in customer satisfaction data,Must Have,Customer satisfaction data,Maps to KPI: NPS improvement
IR-007,Claims Processing,Claims must be automatically routed to the correct handler based on claim type and value within 1 hour of submission,Manual routing is the primary cause of the processing delay — claims sit unassigned in a shared inbox for an average of 2 days,Must Have,Process walkthrough — Claims Handlers,Biggest time saving in the workflow
IR-008,Claims Processing,The system must provide handlers with a structured digital workflow that guides them through each step of the claims process,Handlers currently rely on 4 unofficial Excel spreadsheets to compensate for the legacy system — this suggests the process guidance is inadequate,Must Have,Observation — process walkthroughs,Excel workarounds are the strongest evidence
IR-009,Claims Processing,The system must integrate with the existing finance system (Sage) to receive approved claim payments without manual re-entry,Manual re-entry of payment data is the source of both errors and the 40% staff time overhead on data re-entry,Must Have,IT Lead,Sage API integration required
IR-010,Claims Processing,The system must support a manager approval workflow for claims above £5,000 before payment is processed,Regulatory requirement and existing internal control policy — must be maintained in the digital system,Must Have,Compliance Lead,Non-negotiable for audit
IR-011,Reporting,A management dashboard must show live claims volumes, processing times, and team workload by handler,Management currently have no real-time visibility — they run weekly reports from the legacy system with a 7-day lag,Must Have,Operations Director,Supports the 5-day processing time KPI
IR-012,Reporting,The dashboard must flag any claim that has exceeded the 5-day SLA target and is at risk of breaching,SLA management is manual and reactive — managers find out after the breach, not before,Must Have,Operations Director,Critical for SLA performance KPI
IR-013,Reporting,The system must generate a monthly performance report showing claim volumes, average processing time, and rework rate,Required for board reporting and Benefits Realisation tracking against the approved business case KPIs,Should Have,Board — Finance Director,
IR-014,User Management,The system must support role-based access: Claimant / Claims Handler / Senior Handler / Manager / Finance / Admin,Current system has no role separation — all staff access the same screens regardless of function,Should Have,IT Lead,Required for IR-010 approval workflow
IR-015,User Management,Staff accounts must be provisionable and deactivatable within 1 business day of an HR notification,Staff turnover is 22% per year — current process for removing system access takes up to 2 weeks,Should Have,HR / IT Lead,Security control
IR-016,Communication,The system must support templated email communications to claimants at key process stages,Handlers currently write individual emails at each stage — inconsistent and time-consuming,Should Have,Claims Manager,
IR-017,Communication,Claimants must be able to securely message their handler through the portal rather than by phone or open email,Phone is inefficient and unrecorded; open email creates data handling risks under GDPR,Should Have,Compliance Lead,GDPR implication
IR-018,Mobile,Claimants must be able to submit claims and check status on a mobile device,Over 60% of InsureRight web traffic comes from mobile devices — a desktop-only form would exclude the majority of claimants,Should Have,Digital Analytics,
IR-019,Integrations,The system should integrate with the existing identity verification service (Experian) to verify claimant identity at point of submission,Identity fraud is a known risk in the claims process; integration automates a manual check currently done by handlers,Should Have,Fraud Risk Lead,Reduces manual verification step
IR-020,Integrations,The system should provide a REST API for future integration with third-party loss adjusters and repair partners,InsureRight plans to onboard 3 new third-party partners in Year 2 — an API-first approach avoids point-to-point integrations,Could Have,IT Lead,Year 2 roadmap item
IR-021,Reporting,Advanced analytics and trend analysis on claims data with predictive flagging of fraud patterns,Fraud detection is valuable but not core to the immediate transformation; should be a future phase,Could Have,Risk Lead,Phase 2 roadmap
IR-022,Mobile,A native mobile app (iOS and Android) for claims submission and tracking,A mobile-responsive web app will meet 80% of the mobile use case; native apps add cost for marginal benefit in Phase 1,Could Have,Digital Lead,Phase 2 if web app proves insufficient
IR-023,Communication,Live chat support within the portal during business hours,Useful for claimant experience but staffing and tool cost are significant; evaluate after go-live,Could Have,Customer Experience Lead,Evaluate post-go-live
IR-024,Integrations,Integration with a third-party vehicle data API to auto-populate vehicle details for motor claims,Time-saving for motor claims specifically but affects only one claim type; not a priority for the core platform,Won't Have (Phase 1),Claims Manager,Add to Phase 2 scope
